artist,title,album,recordLabel,sequence,programTitle,episodeTitle,episodeTimestamp
Avram Fefer Quartet,Bedouin Dream,,clean feed,10,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Donna Thompson,I Try,,PRAH Recording,11,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
kingo halla,Water in The Rose,,,12,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
The JuJu Exchange,The Exchange,,"Vinyl Me, Please",13,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
SAULT,Together,,,14,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Lil SilvaBADBADNOTGOOD,To The Floor,,Nowhere Music Ltd,15,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Agile Experiments,Escape From The City,,DDR Records,16,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Saul Williams,Not In Our Name,,,17,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Martin Hederos,Hederos co Satie,,X5 - Warner Classics,18,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Jonah Yano,Always,,Innovative Leisure,19,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
YvetteEduardo Conde,Upa Neguinho,,Discos Marcus Pereira,20,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Shh Quintet,Cabano Chant,,,21,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Saul Williams,Binary Stars,,FADER Distribution,22,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Saul Williams,Abo Ku Wundi Mubembe (People Above The Moon),,FADER Distribution,23,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Saul Williams,The Noise Came From Here,,FADER Distribution,24,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Saul Williams,Niberyeye Mw'ibuye (Underground),,FADER Distribution,25,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Bennie MaupinAdam Rudolph,Second Movement,,Strut Records,26,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Saul Williams,Ubujiji Nemera (Down For Some Ignorance),,FADER Distribution,27,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Saul Williams,Pensent Comme Leurs Livres Disent (Think Like Their Books Say),,FADER Distribution,28,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
BCUCSaul Williams,IsivunguvunguSaul Williams,,Buda Music,29,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Dobie,Ripley's Theme,,Pussyfoot records,30,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Moor MotherSaul Williams,Black FlightSaul Williams,,Don Giovanni Records,31,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Dave MurraySaul Williams,CitizensSaul Williams,,Double Moon,32,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Jackie McLean QuintetSaul Williams,HipnosisSaul Williams,,Blue Note,33,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Charles Stepney,Black Gold,,International Anthem,34,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Matthew Halsall,Changing Earth,,Gondwana Records,35,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
SAULT,Love Will Free Your Mind,,,36,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
SminoCory HenryRavyn Lenae,Settle DownCory HenryRavyn Lenae,,Zero Fatigue / Motown,37,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
VANO 3000Samuel T. HerringBADBADNOTGOOD,Running Away,,Innovative Leisure,38,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Liv.e,Ghost,,In Real Life,39,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
Pearson Sound,Red Sky,,Hessle Audio,40,Gilles Peterson,Joining The Musical Dots: Saul Williams,2022-11-05T15:00:00+00:00
